beweisen  korp  1 nil nil 1194
grüßen  hbk 1 nil rep 1183
behaupten   korp  1 speech  nil 1146
vernehmen   korp  1 speech  nil 1100
bestätigen  korp  1 speech  nil 1062
drohen  korp  1 speech  nil 1009
befehlen  korp  1 speech  nil 996
Plan  erg 1 nil nil 990
entschließen  korp  1 thought nil 956
unterbrechen  korp  1 speech  nil 925
beschließen   korp  1 nil nil 910
lügen   korp  1 speech  nil 847
klagen  korp  1 speech  nil 840
verraten  korp  1 speech  nil 837
erwähnen  korp  1 speech  nil 834
ahnen erg 1 thought nil 823
fluchen   korp  1 speech  nil 812
vermuten  erg 1 thought nil 796
mitteilen   korp  1 speech  nil 787
gebieten  korp  1 speech  nil 785
anrufen hbk 1 nil nil 726
verbieten   korp  1 speech  nil 706
bedauern  korp  1 speech  nil 694
Erklärung   thes  1 nil nil 685
zugeben hbk 1 speech  nil 679
Vorwurf   thes  1 nil nil 665
loben   korp  1 speech  nil 664
raten   korp  1 speech  nil 648
Vorschlag   thes  1 speech  nil 638
warnen  korp  1 speech  nil 626
seufzen   korp  1 speech  nil 620
empfehlen   korp  1 speech  nil 576
auffordern  korp  1 speech  nil 515
schildern   korp  1 speech  nil 483
schwören  korp  1 speech  nil 440
hinweisen hbk 1 speech  nil 433
vorwerfen hbk 1 nil nil 432
vortragen hbk 1 nil nil 429
urteilen  korp  1 speech  nil 422
stöhnen   korp  1 speech  nil 421
widersprechen   korp  1 speech  nil 390
belehren  korp  1 speech  nil 387
Bekenntnis  thes  1 nil nil 385
verständigen  hbk 1 nil rep 376
scherzen  korp  1 speech  nil 369
übersetzen  korp  1 speech  nil 362
anweisen  hbk 1 nil nil 342
brüllen   korp  1 speech  nil 342
betonen   korp  1 speech  nil 336
Mitteilung  thes  1 nil nil 327
zischen   korp  1 speech  nil 325
Verfügung   thes  1 nil nil 325
anvertrauen hbk 1 nil trenn 320
Auskunft  thes  1 speech  nil 308
gestatten   korp  1 speech  nil 307
billigen  korp  1 speech  nil 304
schmeicheln   korp  1 speech  nil 301
Botschaft   thes  1 nil nil 294
rühmen  korp  1 speech  nil 285
verweisen   korp  1 speech  nil 285
Vermutung   thes  1 nil nil 284
Erlaubnis erg 1 nil nil 281
Einfall erg 1 nil nil 278
zustimmen hbk 1 nil rep 275
besinnen  korp  1 thought nil 273
ergänzen  korp  1 speech  nil 264
Diskussion  thes  1 speech  rep 255
bedanken  hbk 1 nil rep 254
beschweren  hbk 1 nil nil 251
protestieren  korp  1 speech  nil 244
schimpfen   korp  1 speech  nil 239
Überlegung  thes  1 nil nil 227
mahnen  korp  1 speech  nil 222
zusagen hbk 1 nil rep 221
tadeln  korp  1 speech  nil 218
Gerücht   thes  1 nil nil 216
jammern   korp  1 speech  nil 215
Feststellung  thes  1 nil nil 214
knurren   korp  1 speech  nil 210
diskutieren   korp  1 speech  nil 208
Gebot   thes  1 nil nil 206
Kommentar   thes  1 speech  nil 205
flehen  korp  1 speech  nil 203
Drohung   thes  1 nil nil 195
Einwand   thes  1 nil nil 188
ächzen  korp  1 speech  nil 187
gratulieren hbk 1 nil nil 184
telefonieren  hbk 1 nil rep 182
beschwichtigen  korp  1 speech  nil 182
brummen   korp  1 speech  nil 180
Information   thes  1 nil nil 179
zusammenfassen  hbk 1 nil trenn 169
entgegensetzen  korp  1 speech  nil 167
informieren hbk 1 nil nil 163
bezweifeln  hbk 1 nil nil 161
Meldung   thes  1 nil nil 161
ersuchen  korp  1 speech  nil 156
Geständnis  thes  1 nil nil 152
Neuigkeit   thes  1 nil nil 151
geloben   korp  1 speech  nil 150
beharren  korp  1 speech  nil 143
stammeln  korp  1 speech  nil 143
beichten  korp  1 speech  nil 137
murren  korp  1 speech  nil 134
diktieren   korp  1 speech  nil 133
einräumen hbk 1 speech  nil 130
hauchen   korp  1 speech  nil 129
texten  hbk 1 writing rep 125
poltern   korp  1 speech  nil 125
beglückwünschen hbk 1 nil rep 121
Bestellung  thes  1 nil nil 119
raunen  korp  1 speech  nil 118
jubeln  korp  1 speech  nil 114
beteuern  korp  1 speech  nil 113
stottern  korp  1 speech  nil 107
hervorheben hbk 1 nil nil 106
Nachfrage   thes  1 nil rep 104
schnauben   korp  1 speech  nil 104
jauchzen  korp  1 speech  nil 102
vereinbaren hbk 1 nil nil 98
wähnen  korp  1 thought nil 96
belügen hbk 1 nil rep 94
beantragen  hbk 1 nil nil 94
verhören  hbk 1 nil nil 93
vorhalten hbk 1 nil nil 93
lallen  korp  1 speech  nil 92
Ankündigung   thes  1 nil nil 90
anordnen  hbk 1 nil nil 88
künden  korp  1 speech  nil 88
Erwiderung  thes  1 nil nil 83
prahlen   korp  1 speech  nil 81
kommandieren  korp  1 speech  nil 80
wispern   korp  1 speech  nil 76
beschuldigen  hbk 1 nil nil 75
tuscheln  korp  1 speech  nil 75
prophezeien   korp  1 speech  nil 73
rügen   korp  1 speech  nil 71
berichtigen   korp  1 speech  nil 69
maulen  korp  1 speech  nil 60
weissagen   korp  1 speech  nil 60
verbitten hbk 1 nil rep 58
